what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311704506680
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1311704507774
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1311704507819
started,bundle,org.eclipse.wb.xwt,0.9.0.r36x201105061208,"org.eclipse.wb.xwt",1311704508001
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1311704508041
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1311704508351
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1311704514751
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311704522990
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311704541312
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1311704541328
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311707064710
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311711593777
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311711594665
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311712543675
started,bundle,org.python.pydev.core,1.6.0.2010071813,"org.python.pydev.core",1311712544359
started,bundle,org.python.pydev.debug,1.6.0.2010071813,"org.python.pydev.debug",1311712544408
started,bundle,org.python.pydev.customizations,1.6.0.2010071813,"org.python.pydev.customizations",1311712544431
started,bundle,com.python.pydev.analysis,1.6.0.2010071813,"com.python.pydev.analysis",1311712544473
started,bundle,org.python.pydev,1.6.0.2010071813,"org.python.pydev",1311712544500
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311712545103
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311713305514
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311713306390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311713307187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311713309365
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311714882363
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311714915427
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311730574132
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1311730574345
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1311730576270
