what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1311291998138
started,bundle,com.objectaid.uml,0.9.86,"com.objectaid.uml",1311291998138
started,bundle,com.objectaid.uml.cls,0.9.86,"com.objectaid.uml.cls",1311291998158
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1311291998158
started,bundle,org.tigris.subversion.subclipse.core,1.6.12,"org.tigris.subversion.subclipse.core",1311291998158
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1311291998158
started,bundle,org.eclipse.draw2d,3.6.1.v20100913-2020,"org.eclipse.draw2d",1311291998160
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1311291998162
started,bundle,com.google.gdt.eclipse.designer,2.3.1.r36x201105061255,"com.google.gdt.eclipse.designer",1311291998162
started,bundle,com.google.gdt.eclipse.designer.GXT,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.GXT",1311291998204
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.SmartGWT",1311291998220
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.3.1.r36x201105061255,"com.google.gdt.eclipse.designer.UiBinder",1311291998238
started,bundle,com.google.gdt.eclipse.designer.usageprofiler,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.usageprofiler",1311291998240
started,bundle,com.google.gdt.eclipse.designer.usageprofiler.ui,2.3.1.r36x201105061304,"com.google.gdt.eclipse.designer.usageprofiler.ui",1311291998241
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1311291998242
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1311291998243
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1311291998245
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1311291998267
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1311291998295
